company_name,industry_sector,cin,or,segment,net_worth,pli,emp_cost_pct,export_income_pct,service_income_pct,rpt_pct,gross_intbl_pct,fy,persistent_loss
"24/7, Customer Pvt Ltd.",BPO/ITeS,U72200KA2000PTC026694,616.8,ITES,592.56,19.24,73.55,99.09,99.09,0.0,0.0,2023-24,0
"24/7, Customer Pvt Ltd.",BPO/ITeS,U72200KA2000PTC026694,611.29,ITES,815.45,20.64,76.02,94.62,94.62,99.63,0.0,2022-23,0
"24/7, Customer Pvt Ltd.",BPO/ITeS,U72200KA2000PTC026694,586.08,ITES,735.01,20.63,75.51,97.98,97.98,99.37,0.0,2021-22,0
24-7 Intouch India Pvt Ltd.,BPO/ITeS,U72200TG2001PTC037193,437.0,ITES,126.21,14.64,73.4,100.0,100.0,0.0,100.0,2023-24,0
24-7 Intouch India Pvt Ltd.,BPO/ITeS,U72200TG2001PTC037193,385.04,ITES,87.11,14.27,77.89,100.0,100.0,0.0,100.0,2022-23,0
24-7 Intouch India Pvt Ltd.,BPO/ITeS,U72200TG2001PTC037193,195.76000000000002,ITES,52.43,15.76,79.0,0.0,99.54,99.54,100.0,2021-22,0
3I Infotech Consultancy Services Ltd.,IT - Software,U72900MH2007PLC176323,117.72,SDS,36.59,7.68,94.67,1.16,100.0,98.82,0.0,2023-24,0
3I Infotech Consultancy Services Ltd.,IT - Software,U72900MH2007PLC176323,94.98,SDS,29.99,5.09,93.32,0.98,100.0,99.04,0.0,2022-23,0
3I Infotech Consultancy Services Ltd.,IT - Software,U72900MH2007PLC176323,71.37,SDS,26.63,3.93,89.72,0.0,100.0,98.05,0.0,2021-22,0
3I Infotech Digital BPS Ltd.,BPO/ITeS,U74899DL1990PLC039478,95.71,ITES,55.2,0.75,58.57,0.0,99.78,32.64,0.0,2023-24,0
3I Infotech Digital BPS Ltd.,BPO/ITeS,U74899DL1990PLC039478,89.64,ITES,53.19,1.92,60.11,0.0,100.0,26.67,0.0,2022-23,0
3I Infotech Digital BPS Ltd.,BPO/ITeS,U74899DL1990PLC039478,61.34,ITES,50.82,6.29,62.26,0.0,100.0,23.88,0.0,2021-22,0
3I Infotech Ltd.,IT - Software,L67120MH1993PLC074411,382.74,SDS,80.98,-49.85,24.38,18.1,93.36,62.14,0.0,2023-24,0
3I Infotech Ltd.,IT - Software,L67120MH1993PLC074411,355.52,SDS,896.81,5.89,44.67,19.81,77.7,34.43,0.0,2022-23,0
3I Infotech Ltd.,IT - Software,L67120MH1993PLC074411,232.84,SDS,831.45,1.88,46.02,0.0,91.07,63.67,0.0,2021-22,0
4G Identity Solutions Pvt Ltd.,IT - Software,U72200TG2007PTC054636,30.02,SDS,28.25,5.56,4.15,0.0,100.0,0.0,0.0,2023-24,0
4G Identity Solutions Pvt Ltd.,IT - Software,U72200TG2007PTC054636,22.3,SDS,26.98,5.09,5.8,0.0,100.0,0.0,0.0,2022-23,0
4G Identity Solutions Pvt Ltd.,IT - Software,U72200TG2007PTC054636,20.91,SDS,26.08,6.74,6.07,0.0,100.0,0.0,0.0,2021-22,0
4I Apps Solutions Pvt Ltd.,IT - Software,U72200TN2008PTC068041,82.83,SDS,26.88,27.35,83.67,94.48,100.0,1.86,0.0,2023-24,0
4I Apps Solutions Pvt Ltd.,IT - Software,U72200TN2008PTC068041,55.27,SDS,15.37,24.15,83.54,91.13,100.0,2.27,0.0,2022-23,0
4I Apps Solutions Pvt Ltd.,IT - Software,U72200TN2008PTC068041,36.65,SDS,8.14,10.03,87.51,90.89,100.0,1.62,0.0,2021-22,0
63 Moons Technologies Ltd.,IT - Software,L29142TN1988PLC015586,456.04999999999995,SDS,2876.04,67.17,54.41,0.19,99.14,2.66,2.41,2023-24,0
63 Moons Technologies Ltd.,IT - Software,L29142TN1988PLC015586,272.78000000000003,SDS,2616.56,18.26,53.34,0.2,99.89,3.66,3.67,2022-23,0
63 Moons Technologies Ltd.,IT - Software,L29142TN1988PLC015586,146.02999999999997,SDS,2590.2,-34.37,47.52,0.77,98.88,3.48,8.9,2021-22,0
7Seas Entertainment Ltd.,IT - Software,L72900TG1991PLC013074,11.79,SDS,10.17,11.86,68.98,100.0,100.0,4.55,0.0,2023-24,0
7Seas Entertainment Ltd.,IT - Software,L72900TG1991PLC013074,5.52,SDS,-0.89,9.96,62.55,100.0,100.0,2.39,0.0,2022-23,0
AAA Technologies Ltd.,BPO/ITeS,L72100MH2000PLC128949,23.79,ITES,27.96,16.79,26.07,0.13,100.0,0.0,0.0,2023-24,0
AAA Technologies Ltd.,BPO/ITeS,L72100MH2000PLC128949,23.01,ITES,25.39,17.28,19.78,0.96,99.96,0.0,0.0,2022-23,0
AAA Technologies Ltd.,BPO/ITeS,L72100MH2000PLC128949,14.4,ITES,22.94,26.87,32.07,0.28,100.0,0.0,0.0,2021-22,0
Aabsys Information Technology Pvt Ltd.,IT - Software,U72100OR1998PTC005427,43.14,SDS,32.5,29.36,59.97,89.78,100.0,8.88,0.0,2023-24,0
Aabsys Information Technology Pvt Ltd.,IT - Software,U72100OR1998PTC005427,40.77,SDS,26.1,29.18,57.16,84.74,100.0,5.58,0.0,2022-23,0
Aabsys Information Technology Pvt Ltd.,IT - Software,U72100OR1998PTC005427,32.62,SDS,20.56,36.31,57.75,81.33,100.0,12.45,0.0,2021-22,0
AB Studios Pvt Ltd.,IT - Software,U74900MH2015PTC261031,14.05,SDS,3.26,-1.89,42.88,0.0,100.0,19.06,0.0,2023-24,0
