cin,company_name,industry_sector,segment,net_worth,persistent_loss,or,pli,emp_cost_pct,rpt_pct,export_income_pct,service_income_pct,gross_intbl_pct,fy,source
U63090TN1995PLC033513,Shriram Value Services Ltd.,ITES,ITES,604.88,0,296.34,193.38,25.528913963328726,97.45,0.0,100.0,0.0,2021-22,prowess
U72900PN2014PTC152592,Advanced Risk Analytics Pvt. Ltd.,ITES,ITES,34.42,0,14.26,193.38,84.13793103448279,10.9,99.50911640953716,99.50911640953716,0.0701262272089761,2021-22,prowess
U72200KA2014PTC077244,Fonepaisa Payment Solutions Pvt. Ltd.,Computer software,SDS,18.69,0,38.91,193.38,46.48526077097509,2.29,0.0,100.0,0.0,2021-22,prowess
U74210WB2006PTC110217,Agrawal & Agrawal Environmental Engg. Pvt. Ltd.,Business services & consultancy,ITES,8.87,0,3.98,193.38,14.75409836065574,43.0,0.0,100.0,0.0,2021-22,prowess
U73100DL2004PLC131109,P I Life Science Research Ltd.,Business services & consultancy,ITES,34.25,0,5.66,193.38,33.58778625954197,86.52,0.0,100.0,0.0,2021-22,prowess
U74140DL2008GOI175858,P F C Consulting Ltd.,Business services & consultancy,ITES,110.59,0,85.16,123.58,35.10107639800473,40.51,0.0,99.97651479567872,0.3757632691404415,2021-22,prowess
U72200DL2001PLC112131,Infoaxon Technologies Ltd.,Computer software,SDS,6.21,0,1.55,187.04,0.0,0.0,0.0,100.0,0.0,2021-22,prowess
U74140KA2005PTC036309,Musigma Business Solutions Pvt. Ltd.,Computer software,SDS,3555.17,0,696.09,193.38,79.19566898685227,0.0,93.50084040856784,93.50084040856784,10.735680730939963,2021-22,prowess
U93090MH2006PLC164885,C D S L Ventures Ltd.,Business services & consultancy,ITES,258.54,0,137.28,193.38,13.121226196005573,38.55,0.0,98.28817016317016,3.4892191142191145,2021-22,prowess
U74999MH2019PTC329951,Sagacious I P Pvt. Ltd.,Business services & consultancy,ITES,5.27,0,5.33,193.38,83.90804597701148,97.25,99.43714821763602,99.43714821763602,0.0,2021-22,prowess
U70102TG2007PLC052362,Nava Bharat Projects Ltd.,Business services & consultancy,ITES,284.74,0,10.09,156.09,58.88324873096447,51.72,0.0,100.0,0.0,2021-22,prowess
U72300WB2014PTC204376,Cloudkaptan Consultancy Services Pvt. Ltd.,Computer software,SDS,56.75,0,58.36,110.53,91.12554112554112,0.0,99.36600411240576,99.36600411240576,0.0342700479780671,2021-22,prowess
U72200MH2006PTC166211,Greeksoft Technologies Pvt. Ltd.,Computer software,SDS,70.87,0,41.63,119.92,61.80665610142629,6.23,0.0,100.0,4.3478260869565215,2021-22,prowess
U74899DL1982PLC014495,I E C S Consultancy Ltd.,ITES,ITES,1.57,0,2.61,100.77,9.230769230769232,0.0,100.0,100.0,0.0,2021-22,prowess
U72900MH2000PLC126952,N S E Data & Analytics Ltd.,Business services & consultancy,ITES,338.4,0,167.24,144.61,12.417727073277751,68.54,64.50011958861516,98.88782587897632,17.47787610619469,2021-22,prowess
U92490DL2012FTC238300,Alston Elliot India Pvt. Ltd.,Computer software,SDS,13.8,0,28.6,143.2,50.680272108843525,53.36,6.048951048951048,99.8951048951049,12.937062937062937,2021-22,prowess
L72200MH1989PLC053666,Oracle Financial Services Software Ltd.,Computer software,SDS,5802.46,0,3915.42,127.59,84.54965559333857,86.79,94.37735926158624,99.50758794714233,0.0,2021-22,prowess
U72900TN2000PLC045085,Coromandel Infotech India Ltd.,Computer software,SDS,4.94,0,20.83,104.02,47.20861900097944,9.64,0.0,100.0,100.0,2021-22,prowess
U51909TG1995PTC022481,Trigeo Technologies Pvt. Ltd.,Computer software,SDS,259.72,0,109.39,117.3,80.43305522447358,5.47,100.0,100.0,3.885181460828229,2021-22,prowess
U72200PN2017PTC167875,Nodding Heads Games Pvt. Ltd.,Computer software,SDS,13.0,1,18.76,193.38,53.45167652859958,24.08,100.0,100.0,0.0,2021-22,prowess
U72200HR2015PLC054827,Vdoit Technologies Ltd.,Computer software,SDS,1.3,0,3.21,60.5,79.0,32.62,60.74766355140186,100.0,0.0,2021-22,prowess
U40100TN2010PTC075961,Zoho Corporation Pvt. Ltd.,Computer software,SDS,8108.64,0,5043.93,121.35,62.44333366978394,0.0,0.0,99.44487730797216,4.903319435440221,2021-22,prowess
L72501PN2018PLC180757,Alphalogic Techsys Ltd.,ITES,ITES,17.93,0,3.16,62.89,10.309278350515465,13.42,19.93670886075949,100.0,0.0,2021-22,prowess
U72200MH2003PTC143060,Silverlink Technologies Pvt. Ltd.,Computer software,SDS,60.32,0,52.9,98.95,54.79503572771719,62.13,80.1890359168242,100.0,0.0,2021-22,prowess
U72200KA2004PTC033559,Pixel Softek Pvt. Ltd.,Computer software,SDS,105.15,0,90.67,112.49,84.39184438715725,0.0,0.0,97.78316973640672,1.2131906915186943,2021-22,prowess
U72900KA2001PTC028392,Ittiam Systems Pvt. Ltd.,Computer software,SDS,121.64,0,90.15,62.7,76.59267280274318,91.44,97.42651136993898,97.42651136993898,0.6433721575152522,2021-22,prowess
U40101DL2007GOI165779,R E C Power Devp. & Consultancy Ltd.,Diversified,ITES,328.61,0,164.72,61.02,6.568914956011731,66.84,0.0,97.14060223409422,0.0910636231180184,2021-22,prowess
U85110TG2004PTC044908,Q P S Bioserve India Pvt. Ltd.,Business services & consultancy,ITES,78.79,0,76.01,131.39,37.04718417047183,1.89,52.006314958558086,99.8289698723852,0.8814629653992896,2021-22,prowess
U72900TG2002PTC039627,Ilabs Hyderabad Technology Centre Pvt. Ltd.,Business services & consultancy,ITES,162.02,0,41.54,88.48,12.613430127041742,0.02,0.0,98.2426576793452,0.0,2021-22,prowess
U72200TN2008PTC066180,Zifo Technologies Pvt. Ltd.,ITES,ITES,58.86,0,248.11,85.75,77.53238002545483,31.24,97.17060981016483,98.31526339123776,0.6609971383660472,2021-22,prowess
U72900MH2007PLC172690,Reliance Tech Services Ltd.,Computer software,SDS,-17.86,1,3.32,88.64,81.81818181818183,99.1,0.0,100.0,0.0,2021-22,prowess
U72200CT2005PTC018065,Amicus Technology Pvt. Ltd.,Computer software,SDS,26.13,0,19.44,78.68,72.79411764705883,12.69,100.0,100.0,0.0,2021-22,prowess
U72200DL1998PTC092908,Xchanging Technology Services India Pvt. Ltd.,ITES,ITES,285.3,0,393.33,92.44,70.61989334116151,82.19,96.44319019652708,99.99491521114588,71.64975974372663,2021-22,prowess
L72900PB2016PLC045575,T A C Infosec Ltd.,Computer software,SDS,2.66,0,5.11,19.95,68.54460093896712,13.26,29.158512720156555,100.0,0.0,2021-22,prowess
U72200TG2008PTC062114,Propharma Group India Pvt. Ltd.,Computer software,SDS,12.82,0,15.14,78.96,63.35697399527187,10.49,0.0,100.0,0.0,2021-22,prowess
U72900DL2002PLC392081,Ebixcash Ltd.,Computer software,SDS,2799.54,0,694.74,193.38,58.12550748173068,81.78,36.494228056539136,99.86613697210466,7.112013127213057,2021-22,prowess
U64202PN2004PTC154566,Actiohx Solutions Pvt. Ltd.,Computer software,SDS,49.98,0,49.65,174.31,73.9779005524862,43.38,68.13695871097684,39.11379657603223,2.598187311178248,2021-22,prowess
U72200PN2012PTC143205,Zentest Software Pvt. Ltd.,Computer software,SDS,26.57,0,34.18,119.38,70.2824133504493,98.64,99.4441193680515,99.4441193680515,1.0532475131655938,2021-22,prowess
U73100KA2009PTC049350,M S Clinical Research Pvt. Ltd.,Business services & consultancy,ITES,23.15,0,21.8,86.64,16.0958904109589,2.14,16.926605504587155,100.0,0.0,2021-22,prowess
U74999DL2005PTC132134,Interglobe Technology Quotient Pvt. Ltd.,Computer software,SDS,734.71,0,269.36,36.45,16.230180841902637,4.69,96.23552123552123,97.97297297297298,3.545441045441045,2021-22,prowess
U72400MH2004PLC147094,N S D L Database Mgmt. Ltd.,Business services & consultancy,ITES,239.19,0,92.75,111.37,36.59981768459434,20.21,0.0,100.0,11.191374663072777,2021-22,prowess
U72900DL2014PTC358928,Torqus Systems Pvt. Ltd. [Merged],Computer software,SDS,-2.37,0,1.31,79.45,57.53424657534245,95.52,0.0,98.47328244274809,0.0,2021-22,prowess
L74899DL1995PLC065551,C E Info Systems Ltd.,Computer software,SDS,438.13,0,199.4,68.91,47.66624311732316,9.75,44.09729187562688,91.68004012036108,5.737211634904714,2021-22,prowess
U72900PN2006PTC129119,S S K Infotech Pvt. Ltd.,ITES,ITES,6.1,0,42.77,79.03,12.390121389702802,33.28,0.0,100.0,7.435118073415945,2021-22,prowess
U72200DL1999PTC099909,Info-X Software Technology Pvt. Ltd.,Computer software,SDS,25.91,0,48.7,63.59,52.33456499832045,0.0,98.80903490759752,100.0,6.899383983572895,2021-22,prowess
U72200TN2003PTC050892,Trumpf Metamation Pvt. Ltd.,Computer software,SDS,140.19,0,52.08,193.38,69.4621168305379,0.0,99.03993855606758,99.0015360983103,4.896313364055299,2021-22,prowess
L28112KA1984PLC005873,Umiya Buildcon Ltd.,Diversified,ITES,69.58,1,119.21,193.38,15.837228485015126,6.49,0.0,3.061823672510695,0.1174398120963006,2021-22,prowess
U72900GJ2012PTC071291,Maruti Techlabs Pvt. Ltd.,Computer software,SDS,26.78,0,32.43,66.65,71.42857142857143,13.03,99.78415047795252,99.78415047795252,0.2775208140610545,2021-22,prowess
L72900DL2014PLC269020,Ksolves India Ltd.,Computer software,SDS,16.27,0,45.35,73.49,78.19433817903597,1.51,70.78280044101433,100.0,0.0,2021-22,prowess
L72300TN1992PLC022135,California Software Co. Ltd.,Computer software,SDS,14.07,0,10.86,139.74,29.801324503311267,0.0,0.0,100.0,0.0,2021-22,prowess
