CD_Industry,Count,Segment
Trading,951,Other
IT - Software,670,SDS
Construction - Real Estate,565,Other
Engineering - Industrial Equipments,533,Other
Finance - NBFC,475,Other
Pharmaceuticals & Drugs,441,Other
Engineering - Construction,438,Other
Chemicals,437,Other
Textile,423,Other
Auto Ancillary,414,Other
Miscellaneous,400,Other
Finance - Investment,398,Other
Steel & Iron Products,396,Other
Consumer Food,389,Other
Power Generation/Distribution,317,Other
Plastic Products,314,Other
Logistics,268,Other
Electric Equipment,250,Other
Hospital & Healthcare Services,230,Other
Engineering,205,Other
"Hotel, Resort & Restaurants",195,Other
BPO/ITeS,164,ITES
Textile - Spinning,163,Other
Finance - Stock Broking,142,Other
Retailing,131,Other
Paper & Paper Products,127,Other
Diamond  &  Jewellery,107,Other
Agriculture,97,Other
Castings/Forgings,95,Other
"Film Production, Distribution & Entertainment",93,Other
TV Broadcasting & Software Production,93,Other
Cement & Construction Materials,85,Other
Metal - Non Ferrous,85,Other
Bank - Private,84,Other
Electronics - Components,82,Other
Mining & Minerals,81,Other
Ceramics/Marble/Granite/Sanitaryware,79,Other
Sugar,79,Other
Household & Personal Products,78,Other
Tea/Coffee,72,Other
Printing And Publishing,69,Other
Solvent  Extraction,62,Other
Educational Institutions,62,Other
Pesticides & Agrochemicals,61,Other
Automobiles - Dealers & Distributors,61,Other
Professional Services,60,Other
Business Support,60,ITES
Medical Equipment/Supplies/Accessories,60,Other
Cable,60,Other
Travel Services,58,Other
Rubber  Products,56,Other
Shipping,53,Other
Dyes & Pigments,50,Other
Insurance,49,Other
Telecommunication - Service  Provider,48,ITES
Breweries & Distilleries,48,Other
Aluminium & Aluminium Products,47,Other
Finance - Housing,47,Other
Compressors / Pumps,47,Other
Fertilizers,47,Other
Steel/Sponge Iron/Pig Iron,47,Other
Packaging,46,Other
Consumer Durables - Domestic Appliances,43,Other
Finance - Asset Management,41,Other
IT - Hardware,41,Other
Textile - Weaving,40,Other
Telecommunication - Equipment,39,Other
Forgings,39,Other
Industrial  Gases & Fuels,39,Other
Printing & Stationery,36,Other
Diversified,34,ITES
Transmission Towers / Equipments,34,Other
Bearings,33,Other
Edible Oil,32,Other
Paints,32,Other
Glass,30,Other
Wood & Wood Products,29,Other
Port,28,Other
e-Commerce,27,SDS
Tyres & Allied,27,Other
Cigarettes/Tobacco,26,Other
Textile - Manmade  Fibres,26,Other
Leather,25,Other
Refractories,25,Other
Engineering Consultancy,25,Other
Lubricants,24,Other
Finance - Others,23,Other
Oil Exploration,23,Other
Airlines,23,Other
Environmental Services,23,Other
Fasteners,23,Other
Defence,22,Other
IT - Education,20,SDS
Gas Transmission/Marketing,20,Other
Electrodes & Welding Equipment,20,Other
Petrochemicals,20,Other
Metal - Ferrous,20,Other
Footwear,20,Other
Automobiles - Passenger Cars,20,Other
Finance Term Lending,19,Other
Bank - Public,19,Other
Textile - Machinery,17,Other
Automobile Two & Three Wheelers,17,Other
Ferro & Silica Manganese,17,Other
Refineries,16,Other
Batteries,16,Other
Consumer Durables - Electronics,16,Other
Laminates/Decoratives,15,Other
Ship Building,15,Other
IT - Networking,15,SDS
Airport Management Services,14,Other
Advertising & Media,14,ITES
Animal Feed,13,Other
Aquaculture,13,Other
Amusement Parks/Recreation/Club,13,Other
Courier  Services,12,Other
Automobiles-Trucks/Lcv,12,Other
Restaurants,11,Other
Fintech,11,Other
Air Conditioners,10,Other
Abrasives,9,Other
Carbon Black,8,Other
Automobiles-Tractors,8,Other
Ratings,7,Other
Railways Wagons,7,Other
Diesel Engines,7,Other
Telecom-Infrastructure,6,Other
Construction Vehicles,5,Other
Depository Services,5,Other
Photographic Products,5,Other
Watches & Accessories,4,Other
Cycles,3,Other
Detergents & Soaps,3,Other
Floriculture,3,Other
Animation,2,SDS
