Sr.No.,Accord Code,Company Name,BS_Year End,BS_Goodwill,BS_Computer Software,BS_Technical know-how,"BS_Patents, trademarks and designs",BS_Technology License  Fees,BS_Sundry Debtors
1,207635,20 Microns Ltd.,202403,,1.71,,,,112.55
2,207635,20 Microns Ltd.,202303,,1.34,,,,89.57
3,207635,20 Microns Ltd.,202203,,1.20,,,,95.45
4,224943,20 Microns Nano Minerals Ltd.,202403,,,,,,10.39
5,224943,20 Microns Nano Minerals Ltd.,202303,,,,,,9.52
6,224943,20 Microns Nano Minerals Ltd.,202203,,,,0.41,,10.89
7,126921,21st Century Management Services Ltd.,202403,,,,,,17.16
8,126921,21st Century Management Services Ltd.,202303,,,,,,
9,126921,21st Century Management Services Ltd.,202203,,,,,,0.03
10,235980,"24/7, Customer Pvt Ltd.",202403,,26.25,,,,406.73
11,235980,"24/7, Customer Pvt Ltd.",202303,,23.74,,,,459.36
12,235980,"24/7, Customer Pvt Ltd.",202203,,21.72,,,,437.49
13,211211,24-7 Intouch India Pvt Ltd.,202403,27.48,1.56,,,,85.85
14,211211,24-7 Intouch India Pvt Ltd.,202303,27.48,1.56,,,,56.20
15,211211,24-7 Intouch India Pvt Ltd.,202203,27.34,1.29,,,,38.90
16,239132,360 ONE Asset Management Ltd.,202403,,4.55,,6.08,,132.66
17,239132,360 ONE Asset Management Ltd.,202303,,2.75,,6.08,,121.62
18,239132,360 ONE Asset Management Ltd.,202203,,2.51,,,,121.24
19,228979,360 One Asset Trustee Ltd.,202403,,,,,,2.08
20,228979,360 One Asset Trustee Ltd.,202203,,,,,,1.81
21,281584,360 One Prime Ltd.,202403,,2.92,,,,4.04
22,281584,360 One Prime Ltd.,202303,,0.65,,,,17.54
23,281584,360 One Prime Ltd.,202203,,0.65,,,,13.17
24,228974,360 One Wam Ltd.,202403,3.21,47.89,,,,67.00
25,228974,360 One Wam Ltd.,202303,3.21,19.20,,,,7.34
26,228974,360 One Wam Ltd.,202203,3.21,18.38,,,,11.73
27,132067,3B Blackbio Dx Ltd.,202403,,,,,,36.47
28,132067,3B Blackbio Dx Ltd.,202303,,,,,,13.70
29,132067,3B Blackbio Dx Ltd.,202203,,,,,,14.35
30,318013,3B Films Ltd.,202403,,1.02,,2.82,,9.56
31,318013,3B Films Ltd.,202303,,1.02,,,,4.29
32,318013,3B Films Ltd.,202203,,1.02,,,,5.70
33,314164,3C IT Solutions & Telecom (India) Ltd.,202403,,,,,,7.10
34,314164,3C IT Solutions & Telecom (India) Ltd.,202303,,,,,,10.23
35,314164,3C IT Solutions & Telecom (India) Ltd.,202203,,,,,,14.58
36,235981,3D Technopack Ltd.,202403,,0.78,,,,23.29
37,235981,3D Technopack Ltd.,202303,,0.78,,,,24.24
38,235981,3D Technopack Ltd.,202203,,0.78,,,,20.58
39,237172,3F Industries Ltd.,202403,,2.08,,,,90.11
40,237172,3F Industries Ltd.,202303,,1.95,,,,118.25
41,237172,3F Industries Ltd.,202203,,1.93,,,,157.41
42,223554,3I India Pvt Ltd.,202303,,,,,,11.80
43,223554,3I India Pvt Ltd.,202203,,,,,,14.21
44,235983,3I Infotech Consultancy Services Ltd.,202403,,,,,,48.49
45,235983,3I Infotech Consultancy Services Ltd.,202303,,,,,,43.71
46,235983,3I Infotech Consultancy Services Ltd.,202203,,,,,,32.91
47,235982,3I Infotech Digital BPS Ltd.,202403,,,,,,15.14
48,235982,3I Infotech Digital BPS Ltd.,202303,,,,,,17.86
49,235982,3I Infotech Digital BPS Ltd.,202203,,,,,,6.08
50,132628,3I Infotech Ltd.,202403,,48.31,,,,72.54
51,132628,3I Infotech Ltd.,202303,,,,,,416.17
52,132628,3I Infotech Ltd.,202203,,,,,,451.13
53,123395,3M India Ltd.,202403,,2.38,,,,679.01
54,123395,3M India Ltd.,202303,,2.15,,,,595.10
55,123395,3M India Ltd.,202203,,2.44,,,,488.58
56,116092,3P Land Holdings Ltd.,202403,,,,,,
57,116092,3P Land Holdings Ltd.,202303,,,,,,
58,116092,3P Land Holdings Ltd.,202203,,,,,,
59,233059,4G Identity Solutions Pvt Ltd.,202403,,,,,,9.51
60,233059,4G Identity Solutions Pvt Ltd.,202303,,,,,,7.40
61,233059,4G Identity Solutions Pvt Ltd.,202203,,,,,,5.20
62,249205,4I Apps Solutions Pvt Ltd.,202403,,1.00,,,,7.41
63,249205,4I Apps Solutions Pvt Ltd.,202303,,1.00,,,,4.08
64,249205,4I Apps Solutions Pvt Ltd.,202203,,0.72,,,,2.46
65,221679,4Mann Industries Pvt Ltd.,202403,,0.69,,,,12.37
66,221679,4Mann Industries Pvt Ltd.,202303,,0.69,,,,8.21
67,221679,4Mann Industries Pvt Ltd.,202203,,0.69,,,,10.34
68,131925,52 Weeks Entertainment Ltd.,202403,,,,,,
69,131925,52 Weeks Entertainment Ltd.,202303,,,,,,2.59
70,131925,52 Weeks Entertainment Ltd.,202203,,,,,,2.59
