Sr.No.,Accord Code,Company Name,FH_Year End,FH_Net Worth
1,207635,20 Microns Ltd.,202403,323.28
2,207635,20 Microns Ltd.,202303,269.60
3,207635,20 Microns Ltd.,202203,233.53
4,224943,20 Microns Nano Minerals Ltd.,202403,44.30
5,224943,20 Microns Nano Minerals Ltd.,202303,41.02
6,224943,20 Microns Nano Minerals Ltd.,202203,36.77
7,126921,21st Century Management Services Ltd.,202403,53.38
8,126921,21st Century Management Services Ltd.,202303,19.81
9,126921,21st Century Management Services Ltd.,202203,29.87
10,235980,"24/7, Customer Pvt Ltd.",202403,592.56
11,235980,"24/7, Customer Pvt Ltd.",202303,815.45
12,235980,"24/7, Customer Pvt Ltd.",202203,735.01
13,211211,24-7 Intouch India Pvt Ltd.,202403,126.21
14,211211,24-7 Intouch India Pvt Ltd.,202303,87.11
15,211211,24-7 Intouch India Pvt Ltd.,202203,52.43
16,239132,360 ONE Asset Management Ltd.,202403,165.77
17,239132,360 ONE Asset Management Ltd.,202303,127.65
18,239132,360 ONE Asset Management Ltd.,202203,137.59
19,228979,360 One Asset Trustee Ltd.,202403,6.96
20,228979,360 One Asset Trustee Ltd.,202303,10.52
21,228979,360 One Asset Trustee Ltd.,202203,6.43
22,281584,360 One Prime Ltd.,202403,1439.13
23,281584,360 One Prime Ltd.,202303,1396.91
24,281584,360 One Prime Ltd.,202203,1272.53
25,228974,360 One Wam Ltd.,202403,2435.02
26,228974,360 One Wam Ltd.,202303,2262.06
27,228974,360 One Wam Ltd.,202203,2348.71
28,132067,3B Blackbio Dx Ltd.,202403,227.78
29,132067,3B Blackbio Dx Ltd.,202303,24.22
30,132067,3B Blackbio Dx Ltd.,202203,23.93
31,318013,3B Films Ltd.,202403,30.92
32,314164,3C IT Solutions & Telecom (India) Ltd.,202403,4.22
33,314164,3C IT Solutions & Telecom (India) Ltd.,202303,4.10
34,314164,3C IT Solutions & Telecom (India) Ltd.,202203,2.61
35,235981,3D Technopack Ltd.,202403,30.70
36,235981,3D Technopack Ltd.,202303,36.88
37,235981,3D Technopack Ltd.,202203,46.79
38,237172,3F Industries Ltd.,202403,415.27
39,237172,3F Industries Ltd.,202303,413.95
40,237172,3F Industries Ltd.,202203,454.48
41,223554,3I India Pvt Ltd.,202303,15.76
42,223554,3I India Pvt Ltd.,202203,12.79
43,235983,3I Infotech Consultancy Services Ltd.,202403,36.59
44,235983,3I Infotech Consultancy Services Ltd.,202303,29.99
45,235983,3I Infotech Consultancy Services Ltd.,202203,26.63
46,235982,3I Infotech Digital BPS Ltd.,202403,55.20
47,235982,3I Infotech Digital BPS Ltd.,202303,53.19
48,235982,3I Infotech Digital BPS Ltd.,202203,50.82
49,132628,3I Infotech Ltd.,202403,80.98
50,132628,3I Infotech Ltd.,202303,896.81
51,132628,3I Infotech Ltd.,202203,831.45
52,123395,3M India Ltd.,202403,2370.20
53,123395,3M India Ltd.,202303,1947.84
54,123395,3M India Ltd.,202203,2488.78
55,116092,3P Land Holdings Ltd.,202403,100.34
56,116092,3P Land Holdings Ltd.,202303,67.69
57,116092,3P Land Holdings Ltd.,202203,68.37
58,233059,4G Identity Solutions Pvt Ltd.,202403,28.25
59,233059,4G Identity Solutions Pvt Ltd.,202303,26.98
60,233059,4G Identity Solutions Pvt Ltd.,202203,26.08
61,249205,4I Apps Solutions Pvt Ltd.,202403,26.88
62,249205,4I Apps Solutions Pvt Ltd.,202303,15.37
63,249205,4I Apps Solutions Pvt Ltd.,202203,8.14
64,221679,4Mann Industries Pvt Ltd.,202403,128.83
65,221679,4Mann Industries Pvt Ltd.,202303,111.26
66,221679,4Mann Industries Pvt Ltd.,202203,93.04
67,131925,52 Weeks Entertainment Ltd.,202403,15.92
68,131925,52 Weeks Entertainment Ltd.,202303,15.75
69,131925,52 Weeks Entertainment Ltd.,202203,15.91
70,228972,5Paisa Capital Ltd.,202403,526.88
71,228972,5Paisa Capital Ltd.,202303,459.60
72,228972,5Paisa Capital Ltd.,202203,356.25
73,126881,63 Moons Technologies Ltd.,202403,2876.04
74,126881,63 Moons Technologies Ltd.,202303,2616.56
75,126881,63 Moons Technologies Ltd.,202203,2590.20
76,285855,7NR Retail Ltd.,202403,28.71
77,285855,7NR Retail Ltd.,202303,29.82
78,285855,7NR Retail Ltd.,202203,10.82
79,211528,7Seas Entertainment Ltd.,202403,10.17
80,211528,7Seas Entertainment Ltd.,202303,-0.89
81,211528,7Seas Entertainment Ltd.,202203,-1.32
82,288322,A And M Jumbo Bags Ltd.,202403,8.60
83,288322,A And M Jumbo Bags Ltd.,202303,8.71
84,288322,A And M Jumbo Bags Ltd.,202203,10.51
85,319874,A Innovative International Ltd.,202403,4.09
86,319874,A Innovative International Ltd.,202303,3.68
87,319874,A Innovative International Ltd.,202203,3.32
88,233838,A TO Z Forex Pvt Ltd.,202303,0.35
89,233838,A TO Z Forex Pvt Ltd.,202203,0.34
90,243030,A Tosh & Sons (India) Ltd.,202203,31.55
91,290605,A&A Global Resources Pvt Ltd.,202303,0.48
92,227003,A-1 Facility & Property Managers Pvt Ltd.,202403,63.89
93,227003,A-1 Facility & Property Managers Pvt Ltd.,202303,49.39
94,227003,A-1 Facility & Property Managers Pvt Ltd.,202203,37.35
95,252248,A-1 Fence Products Company Pvt Ltd.,202403,57.31
96,252248,A-1 Fence Products Company Pvt Ltd.,202303,53.56
97,252248,A-1 Fence Products Company Pvt Ltd.,202203,52.21
98,274990,A-1 Ltd.,202403,47.77
99,274990,A-1 Ltd.,202303,48.40
100,274990,A-1 Ltd.,202203,46.51
101,207654,A2Z Infra Engineering Ltd.,202403,2.92
102,207654,A2Z Infra Engineering Ltd.,202303,9.96
103,207654,A2Z Infra Engineering Ltd.,202203,98.98
104,221335,A2Z Infraservices Pvt Ltd,202403,71.60
105,221335,A2Z Infraservices Pvt Ltd,202303,54.53
106,221335,A2Z Infraservices Pvt Ltd,202203,91.07
107,242722,A2Z Powercom Ltd.,202303,1.67
108,242722,A2Z Powercom Ltd.,202203,1.76
109,280120,A2Z Waste Management (Ludhiana) Ltd.,202303,-2.71
110,280120,A2Z Waste Management (Ludhiana) Ltd.,202203,-0.88
111,290601,AA Calibration Pvt Ltd.,202303,0.66
112,290601,AA Calibration Pvt Ltd.,202203,0.66
113,300013,AA Plus Tradelink Ltd.,202403,13.05
114,300013,AA Plus Tradelink Ltd.,202303,12.93
115,300013,AA Plus Tradelink Ltd.,202203,12.73
116,299993,AAA Technologies Ltd.,202403,27.96
117,299993,AAA Technologies Ltd.,202303,25.39
118,299993,AAA Technologies Ltd.,202203,22.94
119,231846,AAACORP Exim India Pvt Ltd.,202403,30.98
120,231846,AAACORP Exim India Pvt Ltd.,202303,39.82
121,231846,AAACORP Exim India Pvt Ltd.,202203,41.58
122,290600,Aabha Contraceptives Pvt Ltd.,202403,5.59
123,290600,Aabha Contraceptives Pvt Ltd.,202303,4.93
124,290600,Aabha Contraceptives Pvt Ltd.,202203,4.86
125,242762,Aabsys Information Technology Pvt Ltd.,202403,32.50
126,242762,Aabsys Information Technology Pvt Ltd.,202303,26.10
127,242762,Aabsys Information Technology Pvt Ltd.,202203,20.56
128,267268,Aacess Tough Doors Pvt Ltd.,202303,1.71
129,267268,Aacess Tough Doors Pvt Ltd.,202203,1.55
130,226513,Aachi Masala FoodS Pvt Ltd.,202403,370.32
131,226513,Aachi Masala FoodS Pvt Ltd.,202303,329.99
132,226513,Aachi Masala FoodS Pvt Ltd.,202203,281.01
133,290602,AACK Technocraft Toolings Pvt Ltd.,202303,0.80
134,131611,Aadhaar Ventures India Ltd.,202403,365.84
135,131611,Aadhaar Ventures India Ltd.,202303,367.67
136,131611,Aadhaar Ventures India Ltd.,202203,366.14
137,236016,Aadhaar Wholesale Trading and Distribution Ltd.,202303,-97.22
138,236016,Aadhaar Wholesale Trading and Distribution Ltd.,202203,-84.53
139,221661,Aadhar Housing Finance Ltd.,202403,4423.48
140,221661,Aadhar Housing Finance Ltd.,202303,3675.07
141,221661,Aadhar Housing Finance Ltd.,202203,3130.52
142,314284,Aadharshila Infratech Pvt Ltd.,202403,56.49
143,314284,Aadharshila Infratech Pvt Ltd.,202303,6.59
144,242298,Aadhira Developers Pvt Ltd.,202303,0.00
145,242298,Aadhira Developers Pvt Ltd.,202203,0.00
146,130027,Aadi Industries Ltd.,202403,-6.69
147,130027,Aadi Industries Ltd.,202303,-6.60
148,130027,Aadi Industries Ltd.,202203,-6.42
149,294360,AADI Polymers Pvt Ltd.,202403,62.21
150,294360,AADI Polymers Pvt Ltd.,202303,45.94
151,294360,AADI Polymers Pvt Ltd.,202203,30.70
152,231607,Aadishwar Exim Pvt Ltd.,202403,19.62
153,231607,Aadishwar Exim Pvt Ltd.,202303,17.70
154,231607,Aadishwar Exim Pvt Ltd.,202203,15.74
155,243847,Aadya Overseas Ltd.,202303,7.92
156,243847,Aadya Overseas Ltd.,202203,8.45
157,131866,Aagam Capital Ltd.,202403,1.58
158,131866,Aagam Capital Ltd.,202303,1.69
159,131866,Aagam Capital Ltd.,202203,1.83
160,211202,AAK India Pvt Ltd.,202403,474.36
161,211202,AAK India Pvt Ltd.,202303,525.05
162,211202,AAK India Pvt Ltd.,202203,340.18
163,319452,Aakaar Medical Technologies Ltd.,202403,12.53
164,319452,Aakaar Medical Technologies Ltd.,202303,9.66
165,319452,Aakaar Medical Technologies Ltd.,202203,8.03
166,290603,AAKAR Abhinav Consultants Pvt Ltd.,202303,25.22
167,290603,AAKAR Abhinav Consultants Pvt Ltd.,202203,22.62
168,223710,Aakash Edutech Pvt Ltd.,202303,-198.75
169,223710,Aakash Edutech Pvt Ltd.,202203,-158.54
170,288691,Aakash Exploration Services Ltd.,202403,58.52
171,288691,Aakash Exploration Services Ltd.,202303,52.30
172,288691,Aakash Exploration Services Ltd.,202203,47.74
173,223486,Aakash Global Foods Pvt Ltd.,202403,74.16
174,223486,Aakash Global Foods Pvt Ltd.,202303,55.53
175,223486,Aakash Global Foods Pvt Ltd.,202203,48.90
176,249590,Aakruti Hospitality Pvt Ltd.,202403,-0.03
177,249590,Aakruti Hospitality Pvt Ltd.,202303,-1.57
178,249590,Aakruti Hospitality Pvt Ltd.,202203,-4.06
179,290604,AAM India Manufacturing Corporation Pvt Ltd.,202403,424.61
180,290604,AAM India Manufacturing Corporation Pvt Ltd.,202303,355.76
181,290604,AAM India Manufacturing Corporation Pvt Ltd.,202203,303.75
182,267733,AAN Engineering Industries Ltd.,202403,2.29
183,267733,AAN Engineering Industries Ltd.,202303,1.20
184,267733,AAN Engineering Industries Ltd.,202203,-0.11
185,270100,Aananda Lakshmi Spinning Mills Ltd.,202403,-18.44
186,270100,Aananda Lakshmi Spinning Mills Ltd.,202303,-22.52
187,270100,Aananda Lakshmi Spinning Mills Ltd.,202203,-27.54
188,236018,Aanchal Computers Ltd.,202303,0.48
189,236018,Aanchal Computers Ltd.,202203,0.40
190,311562,Aanchal International Ltd.,202303,11.94
191,311562,Aanchal International Ltd.,202203,1.24
192,271851,Aanchal Ispat Ltd.,202403,-1.16
193,271851,Aanchal Ispat Ltd.,202303,5.09
194,271851,Aanchal Ispat Ltd.,202203,28.55
195,224319,AAP Infrastructure Ltd.,202303,-9.28
196,224319,AAP Infrastructure Ltd.,202203,-8.94
197,282541,AAR AAR Technoplast Pvt Ltd.,202403,22.74
198,282541,AAR AAR Technoplast Pvt Ltd.,202303,22.72
199,282541,AAR AAR Technoplast Pvt Ltd.,202203,21.33
200,242773,AAR Shyam India Investment Co Ltd.,202403,3.73
201,242773,AAR Shyam India Investment Co Ltd.,202303,4.11
202,242773,AAR Shyam India Investment Co Ltd.,202203,4.17
203,318206,Aaradhya Disposal Industries Ltd.,202403,16.42
204,318206,Aaradhya Disposal Industries Ltd.,202303,12.70
205,318206,Aaradhya Disposal Industries Ltd.,202203,10.55
206,310560,Aaral Tech Pvt Ltd.,202303,1.08
207,310560,Aaral Tech Pvt Ltd.,202203,0.97
208,132024,Aarcon Facilities Ltd.,202403,4.80
209,132024,Aarcon Facilities Ltd.,202303,4.56
210,132024,Aarcon Facilities Ltd.,202203,4.54
211,310176,Aarcot Ceramic Pvt Ltd.,202403,4.24
212,310176,Aarcot Ceramic Pvt Ltd.,202303,3.33
213,310176,Aarcot Ceramic Pvt Ltd.,202203,2.07
214,248822,Aaren Bespoke Living Pvt Ltd.,202303,2.48
215,248822,Aaren Bespoke Living Pvt Ltd.,202203,2.24
216,124412,Aarey Drugs & Pharmaceuticals Ltd.,202403,130.31
217,124412,Aarey Drugs & Pharmaceuticals Ltd.,202303,115.09
218,124412,Aarey Drugs & Pharmaceuticals Ltd.,202203,111.32
219,287832,Aarish Solar Power Pvt Ltd.,202403,110.27
220,287832,Aarish Solar Power Pvt Ltd.,202303,100.68
221,287832,Aarish Solar Power Pvt Ltd.,202203,90.80
222,236020,Aarkay Food Products Ltd.,202403,29.25
223,236021,Aarkay Innovations Ltd.,202403,2.95
224,236021,Aarkay Innovations Ltd.,202303,2.87
225,236021,Aarkay Innovations Ltd.,202203,2.86
226,254751,Aarnav Fashions Ltd.,202403,178.97
227,254751,Aarnav Fashions Ltd.,202303,172.58
228,254751,Aarnav Fashions Ltd.,202203,172.88
229,290393,Aaron Industries Ltd.,202403,35.84
230,290393,Aaron Industries Ltd.,202303,20.48
231,290393,Aaron Industries Ltd.,202203,15.89
232,230258,Aaron Investments Pvt Ltd.,202303,2.35
233,292026,Aartech Solonics Ltd.,202403,31.19
234,292026,Aartech Solonics Ltd.,202303,30.29
235,292026,Aartech Solonics Ltd.,202203,28.97
236,246921,Aarthi Scans Pvt Ltd.,202403,211.28
237,246921,Aarthi Scans Pvt Ltd.,202303,189.12
238,246921,Aarthi Scans Pvt Ltd.,202203,169.50
239,124348,Aarti Drugs Ltd.,202403,1175.21
240,124348,Aarti Drugs Ltd.,202303,1114.30
241,124348,Aarti Drugs Ltd.,202203,972.17
242,124208,Aarti Industries Ltd.,202403,5290.07
243,124208,Aarti Industries Ltd.,202303,4920.95
244,124208,Aarti Industries Ltd.,202203,4501.03
245,207658,Aarti International Ltd.,202403,513.78
246,207658,Aarti International Ltd.,202303,533.20
247,207658,Aarti International Ltd.,202203,513.74
248,308020,Aarti Pharmalabs Ltd.,202403,1621.23
249,308020,Aarti Pharmalabs Ltd.,202303,1438.58
250,308020,Aarti Pharmalabs Ltd.,202203,1238.96
251,207659,Aarti Steels Ltd.,202403,751.95
252,207659,Aarti Steels Ltd.,202303,726.45
253,207659,Aarti Steels Ltd.,202203,1195.58
254,299121,Aarti Surfactants Ltd.,202403,219.25
255,299121,Aarti Surfactants Ltd.,202303,168.12
256,299121,Aarti Surfactants Ltd.,202203,135.94
257,114274,Aarvee Denims & Exports Ltd.,202403,17.20
258,114274,Aarvee Denims & Exports Ltd.,202303,61.40
259,114274,Aarvee Denims & Exports Ltd.,202203,126.34
260,207660,Aarvi Encon Ltd.,202403,101.01
261,207660,Aarvi Encon Ltd.,202303,93.75
262,207660,Aarvi Encon Ltd.,202203,81.83
263,252736,Aarvi Marketing Pvt Ltd.,202403,9.53
264,252736,Aarvi Marketing Pvt Ltd.,202303,7.93
265,252736,Aarvi Marketing Pvt Ltd.,202203,7.63
266,242115,Aarzoo Technobuild Pvt Ltd.,202303,0.03
267,242115,Aarzoo Technobuild Pvt Ltd.,202203,0.03
268,254836,Aashirwad Malls Pvt Ltd.,202303,0.09
269,254836,Aashirwad Malls Pvt Ltd.,202203,0.02
270,302649,Aashka Hospitals Ltd.,202403,96.27
271,302649,Aashka Hospitals Ltd.,202303,93.92
272,302649,Aashka Hospitals Ltd.,202203,96.56
273,287833,Aashman Energy Pvt Ltd.,202403,114.09
274,287833,Aashman Energy Pvt Ltd.,202303,103.96
275,287833,Aashman Energy Pvt Ltd.,202203,96.32
276,244128,Aashrit Capital Ltd.,202403,165.77
277,244128,Aashrit Capital Ltd.,202303,163.34
278,244128,Aashrit Capital Ltd.,202203,156.13
279,111764,Aastamangalam Finance Ltd.,202403,37.68
280,111764,Aastamangalam Finance Ltd.,202303,15.56
281,111764,Aastamangalam Finance Ltd.,202203,14.10
282,309790,Aastha Fashions Pvt Ltd.,202403,7.24
283,309790,Aastha Fashions Pvt Ltd.,202303,6.67
284,309790,Aastha Fashions Pvt Ltd.,202203,6.10
285,309629,Aatmaj Healthcare Ltd.,202403,49.48
286,309629,Aatmaj Healthcare Ltd.,202303,14.18
287,309629,Aatmaj Healthcare Ltd.,202203,8.27
288,267615,Aavas Financiers Ltd.,202403,3721.77
289,267615,Aavas Financiers Ltd.,202303,3225.46
290,267615,Aavas Financiers Ltd.,202203,2777.51
291,230160,Aavkar Publications Pvt Ltd.,202303,2.31
292,230160,Aavkar Publications Pvt Ltd.,202203,1.58
293,286967,Aayush Art And Bullion Ltd.,202403,21.81
294,286967,Aayush Art And Bullion Ltd.,202303,7.45
295,286967,Aayush Art And Bullion Ltd.,202203,7.18
296,236023,Aayush Wellness Ltd.,202403,4.92
297,236023,Aayush Wellness Ltd.,202303,4.41
298,236023,Aayush Wellness Ltd.,202203,4.75
299,269731,Ab Auto Brakes Pvt Ltd.,202303,-9.17
300,269731,Ab Auto Brakes Pvt Ltd.,202203,-8.99
301,302435,AB Cotspin India Ltd.,202403,47.22
302,302435,AB Cotspin India Ltd.,202303,42.38
303,302435,AB Cotspin India Ltd.,202203,38.63
304,290609,AB Emultech Pvt Ltd.,202303,1.79
305,290609,AB Emultech Pvt Ltd.,202203,1.32
306,225641,AB Holdings Pvt Ltd.,202303,-1.00
307,225641,AB Holdings Pvt Ltd.,202203,-1.00
308,242779,AB Hotels Ltd.,202403,114.95
309,242779,AB Hotels Ltd.,202303,94.81
310,242779,AB Hotels Ltd.,202203,82.70
311,290910,AB Infrabuild Ltd.,202403,80.60
312,290910,AB Infrabuild Ltd.,202303,35.32
313,290910,AB Infrabuild Ltd.,202203,27.79
314,251770,AB Jewels Pvt Ltd.,202403,187.46
315,251770,AB Jewels Pvt Ltd.,202303,153.27
316,251770,AB Jewels Pvt Ltd.,202203,120.62
317,242780,AB Leasing & Finance Ltd.,202303,20.20
318,242780,AB Leasing & Finance Ltd.,202203,19.82
319,214739,AB Mauri India Pvt Ltd.,202403,620.00
320,214739,AB Mauri India Pvt Ltd.,202303,360.18
321,214739,AB Mauri India Pvt Ltd.,202203,379.60
322,228338,AB Medical Centres Ltd.,202403,5.97
323,228338,AB Medical Centres Ltd.,202303,5.39
324,228338,AB Medical Centres Ltd.,202203,8.90
325,306344,AB Studios Pvt Ltd.,202403,3.26
326,306344,AB Studios Pvt Ltd.,202303,3.77
327,306344,AB Studios Pvt Ltd.,202203,1.87
328,212257,Abacus Peripherals Pvt. Ltd,202403,17.45
329,212257,Abacus Peripherals Pvt. Ltd,202303,12.97
330,212257,Abacus Peripherals Pvt. Ltd,202203,11.52
331,290608,ABAK Electrofab Engineering Pvt Ltd.,202303,2.94
332,290608,ABAK Electrofab Engineering Pvt Ltd.,202203,2.87
333,123204,Aban Offshore Ltd.,202403,-1163.64
334,123204,Aban Offshore Ltd.,202303,-880.62
335,123204,Aban Offshore Ltd.,202203,-764.87
336,112165,ABans Enterprises Ltd.,202403,20.65
337,112165,ABans Enterprises Ltd.,202303,18.62
338,112165,ABans Enterprises Ltd.,202203,18.27
339,303705,Abans Financial Services Ltd.,202403,104.61
340,303705,Abans Financial Services Ltd.,202303,111.33
341,303705,Abans Financial Services Ltd.,202203,9.99
342,277350,Abaris Healthcare Pvt Ltd.,202303,74.57
343,277350,Abaris Healthcare Pvt Ltd.,202203,55.23
344,131658,Abate AS Industries Ltd.,202403,-0.90
345,131658,Abate AS Industries Ltd.,202303,0.01
346,131658,Abate AS Industries Ltd.,202203,0.36
347,299851,Abbott Diagnostics Medical Pvt Ltd.,202303,33.35
348,299851,Abbott Diagnostics Medical Pvt Ltd.,202203,36.10
349,221754,Abbott Healthcare Pvt Ltd,202403,9988.64
