Sr.No.,Accord Code,Company Name,RPTS_Year End,RPTS_Sales,RPTS_Rent Income,RPTS_Dividend Income,RPTS_Interest Income,RPTS_Forex Gain,RPTS_Discount Income,RPTS_Commission Income,RPTS_Claims Received,RPTS_Other Income,RPTS_Purchases,RPTS_Interest Expenses,RPTS_Director Remuneration,RPTS_Rent Expense,RPTS_Expenses,RPTS_Dividend Expense,RPTS_Discount Expense,RPTS_Commission Expense,RPTS_Claims Paid,RPTS_Expenses Recovered,RPTS_Profit on Sale of Assets,RPTS_Profit on Sale of Investments,RPTS_Provision Written Back,RPTS_Reimbursement Income,RPTS_Sale of Assets,RPTS_Sale of Investments,RPTS_Other Non Operating income,RPTS_Diminution on Investments,RPTS_Donations,RPTS_Forex Loss,RPTS_Loss on Sale of Assets,RPTS_Loss on Sale of Investments,RPTS_Provision for Doubtful Debts & Advances,RPTS_Purchase of Assets,RPTS_Purchase of Investments,RPTS_Provision Write offs,RPTS_Reimbursement Expense,RPTS_Other Non Operating Expenses
1,207635,20 Microns Ltd.,202403,3.31,,,,,,,,7.47,3.35,0.11,5.66,,1.20,,,,,,,,,,,,,,,,,,,,,,,
2,207635,20 Microns Ltd.,202303,5.17,,,,,,,,4.54,2.95,0.11,4.72,,0.73,,,,,,,,,,,,,,,,,,,,,,,
3,207635,20 Microns Ltd.,202203,0.96,,,,,,,,6.48,2.95,0.10,3.93,,0.73,,,,,,,,,,,,,,,,,,,,,,,
4,224943,20 Microns Nano Minerals Ltd.,202403,4.15,,,,,,,,0.09,2.94,0.01,0.25,,6.94,,,,,,,,,,,,,,,,,,,,,,,
5,224943,20 Microns Nano Minerals Ltd.,202303,3.48,,,,,,,,0.39,3.49,0.03,0.21,,6.94,,,,,,,,,,,,,,,,,,,,,,,
6,224943,20 Microns Nano Minerals Ltd.,202203,2.99,,,,,,,,0.74,0.88,,0.15,,6.45,,,,,,,,,,,,,,,,,,,,,,,
7,126921,21st Century Management Services Ltd.,202403,0.06,,,,,,,,,,1.04,0.92,,1.36,,,,,,,,,,,,,,,,,,,,,,,
8,126921,21st Century Management Services Ltd.,202303,,,,,,,,,,,,0.92,,0.71,,,,,,,,,,,,,,,,,,,,,,,
9,126921,21st Century Management Services Ltd.,202203,0.06,,,,,,,,,,,0.92,,0.11,,,,,,,,,,,,,,,,,,,,,,,
10,235980,"24/7, Customer Pvt Ltd.",202303,592.22,,,16.78,,,,,,,,2.40,,5.25,,,,,,,,,,,,,,,,,,,,,,,
11,235980,"24/7, Customer Pvt Ltd.",202203,569.07,,,8.15,,,,,5.15,,,2.79,,4.71,,,,,,,,,,,,,,,,,,,,,,,
12,211211,24-7 Intouch India Pvt Ltd.,202403,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
13,211211,24-7 Intouch India Pvt Ltd.,202203,194.86,,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,
14,239132,360 ONE Asset Management Ltd.,202303,,,,,,,,,,,1.36,10.44,,60.62,261.93,,,,,,,,,,,,,,,,,,,,,,
15,239132,360 ONE Asset Management Ltd.,202203,7.49,,,4.67,,,,,,,1.39,16.83,,40.96,179.76,,,,,,,,,,,,,,,,,,,,,,
