Industry group,Segment
Computer software,SDS
Business services & consultancy,ITES
ITES,ITES
Wholesale trading,Other
Diversified non-financial services,ITES
Online marketplaces,SDS
Other automobile ancillaries,Other
Other electronics,Other
Other fund based financial services,ITES
Drugs & pharmaceuticals,Other
Diversified,ITES
Industrial construction,Other
Other miscellaneous services,ITES
Telecommunication services,ITES
Retail trading,Other
General purpose machinery,Other
"Generators, transformers & switchgears",Other
Other construction & allied activities,Other
Industrial machinery,Other
Education,ITES
Other chemical products,Other
Infrastructural construction,Other
Mining & construction equipment,Other
Other fee based financial services,ITES
Other transport equipment & ancillaries,Other
Other ferrous metal products,Other
Health services,ITES
Transport logistics services,ITES
Taxi aggregators,SDS
Agricultural machinery,Other
Boilers & turbines,Other
Diversified manufacturing,Other
Steel,Other
Communication equipment,Other
Miscellaneous manufactured articles,Other
Inorganic chemicals,Other
Conventional electricity,Other
Organic chemicals,Other
Two & three wheelers,Other
Paper products,Other
Media-broadcasting,ITES
Other consumer goods,Other
"Plastic furniture, floorings & miscellaneous items",Other
Diversified machinery,Other
Other financial services,ITES
Passenger vehicles,Other
Rubber products,Other
"Computers, peripherals & storage devices",Other
Shipping transport services,Other
Other recreational & allied services,ITES
Media-content,ITES
Paints & varnishes,Other
Other domestic appliances,Other
Wires & cables,Other
Other industrial machinery,Other
Miscellaneous electrical machinery,Other
Other construction materials,Other
Vegetable oils & products,Other
Hotels & restaurants,Other
Air-conditioners & refrigerators,Other
Road transport services,Other
Bakery products,Other
Books & cards,Other
Storage & distribution,Other
Storage batteries,Other
Processed foods,Other
Other non-ferrous metals & metal products,Other
Castings & forgings,Other
Refinery,Other
Consumer electronics,Other
Other textiles,Other
Plastic packaging goods,Other
Steel pipes & tubes,Other
Diversified metal & metal products,Other
Cement,Other
"Lubricants, etc.",Other
Animation content provider,SDS
Minerals,Other
Tyres & tubes,Other
Marine foods,Other
Personal & home care products,Other
Air transport services,Other
Railway transport services,Other
Electricity distribution,Other
Industrial cooling equipment,Other
Air transport infrastructure services,Other
Glass & glassware,Other
Fertilisers,Other
Housing finance services,Other
Media-print,Other
Crude oil & natural gas,Other
Tourism,Other
Engines,Other
Sugar,Other
Production & distribution of films,Other
Electricity transmission,Other
"Plastic tubes, pipes, fittings & sheets",Other
Readymade garments,Other
Dyes & pigments,Other
Other agricultural products,Other
Shipping transport infrastructure services,Other
Plastic films & flexible packaging,Other
Diversified financial services,ITES
Machine tools,Other
Commercial vehicles,Other
Gems & jewellery,Other
Cocoa products & confectionery,Other
