cin,company_name,industry_sector,segment,net_worth,persistent_loss,or,pli,emp_cost_pct,rpt_pct,export_income_pct,service_income_pct,gross_intbl_pct,fy,source
L22210MH1995PLC084781,Tata Consultancy Services Ltd.,Computer software,SDS,71781,0,202846,35.62,68.95608804,22.71,95.27030358,98.62358637,0.896246414,2023-24,prowess
L22210MH1995PLC084781,Tata Consultancy Services Ltd.,Computer software,SDS,74400,0,191031,33.88,67.4329126,29.34,96.01164209,98.80490601,0.904041752,2022-23,prowess
L22210MH1995PLC084781,Tata Consultancy Services Ltd.,Computer software,SDS,76593,0,162390,38.92,69.37830971,13.23,95.59701952,97.97770799,0.942176242,2021-22,prowess
L85110KA1981PLC013115,Infosys Ltd.,Computer software,SDS,80897,0,130171,30.66,65.38222187,9,96.6374999,99.04894331,0.330334714,2023-24,prowess
L85110KA1981PLC013115,Infosys Ltd.,Computer software,SDS,67485,0,125090,30.08,65.26563166,8.05,97.21400592,99.13981933,0.343752498,2022-23,prowess
L85110KA1981PLC013115,Infosys Ltd.,Computer software,SDS,69040,0,104484,33.71,66.11384111,6.71,97.48286819,99.47934612,0.411546265,2021-22,prowess
U72900GJ2007PLC105869,Reliance Jio Infocomm Ltd.,Telecommunication - Service  Provider,SDS,127244,0,100119,45,2.75,17.25,0,100,100,2023-24,acetp
L74899DL1995PLC070609,Bharti Airtel Ltd.,Telecommunication - Service  Provider,SDS,100679,0,94700.9,29.35,2.97,25.83,3.64,99.38,100,2023-24,acetp
U72900GJ2007PLC105869,Reliance Jio Infocomm Ltd.,Telecommunication - Service  Provider,SDS,106872,0,90786,45.07,2.61,91.37,0,100,100,2022-23,acetp
L74899DL1995PLC070609,Bharti Airtel Ltd.,Telecommunication - Service  Provider,SDS,78830.1,0,84764.8,26,2.92,26.25,4.31,99.94,100,2022-23,acetp
U72900GJ2007PLC105869,Reliance Jio Infocomm Ltd.,Telecommunication - Service  Provider,SDS,88665,0,76977,45.48,2.69,9.65,0,100,100,2021-22,acetp
L74899DL1995PLC070609,Bharti Airtel Ltd.,Telecommunication - Service  Provider,SDS,74776.4,0,70839.7,17.27,2.97,21.83,4.16,99.93,100,2021-22,acetp
U51909KA2011PTC060489,Flipkart India Pvt. Ltd.,Online marketplaces,SDS,8679.7,1,70542.8,-5.62,0.915664907,3.22,0,1.472581185,0.005812074,2023-24,prowess
L32102KA1945PLC020800,Wipro Ltd.,Computer software,SDS,62762.3,0,68583.5,20.4,65.30916062,14.1,92.88837694,98.28661413,1.010592927,2022-23,prowess
L32102KA1945PLC020800,Wipro Ltd.,Computer software,SDS,57781.9,0,66876.1,18.34,67.75307759,14.24,94.47440865,99.55843717,1.036394168,2023-24,prowess
U30007KA1996PTC019630,Apple India Pvt Ltd.,IT - Hardware,SDS,3083.46,0,66807.99,5.55,4.11,40.98,4.72,5.13,4.97,2023-24,acetp
U72400MH1990PTC057492,Accenture Solutions Pvt. Ltd.,ITES,ITES,7474.4,0,65551.7,15.75,85.02815631,92.55,0,99.84973693,1.340926322,2023-24,prowess
U72400MH1990PTC057492,Accenture Solutions Pvt. Ltd.,ITES,ITES,6704.3,0,62081.1,17.05,85.7610163,91.68,0,99.80461042,0.616934945,2022-23,prowess
L32102KA1945PLC020800,Wipro Ltd.,Computer software,SDS,54241.6,0,60077.7,23.79,64.99446744,16.14,91.29677068,98.36528362,1.51570383,2021-22,prowess
U51909KA2011PTC060489,Flipkart India Pvt. Ltd.,Online marketplaces,SDS,10532.6,1,55824.7,-8.06,1.052752936,1.68,0,0.920560254,0.007344419,2022-23,prowess
U51909KA2011PTC060489,Flipkart India Pvt. Ltd.,Online marketplaces,SDS,10300.8,1,50993.5,-6.35,1.15224977,1.7,0,0.555757106,0.00804024,2021-22,prowess
U30007KA1996PTC019630,Apple India Pvt Ltd.,IT - Hardware,SDS,3643.62,0,49188.19,6.05,4.74,48.06,5.41,5.74,6.75,2022-23,acetp
L74140DL1991PLC046369,H C L Technologies Ltd.,Computer software,SDS,39470,0,48118,44.27,63.34252818,63.63,93.36838605,99.66540588,43.57413026,2023-24,prowess
U72400MH1990PTC057492,Accenture Solutions Pvt. Ltd.,ITES,ITES,6274.1,0,47879.5,15.95,85.75403504,92.19,0,99.38157249,0.502302656,2021-22,prowess
